id,question,answer,answer_value,answer_unit,ref_id,ref_url,supporting_materials,explanation,Cohort,Corrected,Quote,Table,Figure,Math,is_NA,CrossPaper,Reconcile
q001,"According to an analysis of 100 news articles on ChatGPT's energy use, what percentage cited the popular but contested estimate that a single query is '10 times more than a Google search' or uses '3 Wh'?",53%,53,percent,['luccioni2025c'],['https://arxiv.org/pdf/2506.15572'],"Our results, shown in Figure 3, reveal that 75% of media articles relayed energy estimates for a ChatGPT query without mentioning uncertainties or even citing the sources for these figures: 53% of articles cite the figure of 3 Wh per ChatGPT query or claim it consumes 10 times more energy than a Google search...","Evidence: quote + figure. luccioni2025c states the value in prose -- ""53% of articles cite the figure of 3 Wh per ChatGPT query or claim it consumes 10 times more energy than a Google search"" -- and also plots the same media analysis as Figure 3. Quote flag added 2026-08-21: it was marked figure-only, which put it in front of a reviewer as 'your reading of the chart is the only check', when in fact the sentence is right there and the two can be reconciled.",2025,0,1,0,1,0,0,0,0
q003,The widely quoted claim that a ChatGPT query uses ten times the energy of a Google search traces back to a 2023 remark by the chairman of which company?,Alphabet,Alphabet,is_blank,['luccioni2025c'],https://arxiv.org/pdf/2506.15572,"luccioni2025c: ""an initial remark from Alphabet's Chairman John Hennessy during a 2023 interview with Reuters"" ... ""Hennessy has no relation to OpenAI or Microsoft (which provides the compute for OpenAI's services), so the comment he made was based on secondhand information.""","Evidence: quote. The most-cited number about ChatGPT's energy use did not come from OpenAI, which has the data and has published no measurement. It came from the chairman of Alphabet -- a competitor -- speaking secondhand, and was then anchored to a Google search figure from a 2009 blog post. Every link in that chain is somebody's claim; none is a measurement. (2026 review: previously worded as an unintelligible true/false -- ""the executive whose remark seeded the widely quoted energy comparison worked at the company operating the chat assistant in question"" -- whose FALSE gold read as exonerating OpenAI. The actual lesson is the opposite: the company that could measure stayed silent, and the void was filled by hearsay.)",2026,1,1,0,0,0,0,0,0
q004,"The ""five cars"" training-emissions figure from 2019 was later shown to be a large overestimate for the search it described. Meta's reported emissions for training the Llama 3 model family are how many times larger than the basis of that estimate?",Over 40 times,40,multiplier,['luccioni2025c'],['https://arxiv.org/pdf/2506.15572'],"luccioni2025c: ""Meta reports that their Llama 3 family of models emitted 11,390 tons CO2e or over 40x the 'five cars' estimate.""","Evidence: quote. The double-edged lesson the debunking questions need beside them: the 2019 headline number was wrong about ITS object, and today's frontier training runs exceed its basis by over 40-fold anyway. Skepticism about a scary number is not evidence the underlying problem is small; both directions of error are in this corpus, sometimes in the same paragraph.",2026,0,1,0,0,0,0,0,0
q007,Consumptive water use in 2023 represented less than what percentage of total water withdrawn?,Less than 5 percent,5,percent,['agl2025'],https://greatlakes.org/wp-content/uploads/2025/08/AGL_WaterUse_Report_Aug2025_Final.pdf,"Quote: ""Total consumptive water use in 2023 was about 1.9 billion gallons per day, less than 5% of the total amount of water withdrawn that year.""","Evidence: quote. Withdrawal and consumption differ by more than an order of magnitude, which is why the two are not interchangeable in reporting.",2026,0,1,0,0,0,0,0,0
q008,True or False: GPT-4o mini consumes less energy per query than the larger GPT-4o.,FALSE,0,is_blank,['jegham2025'],['https://arxiv.org/pdf/2505.09598'],"Interestingly, GPT-4o mini, although substantially smaller in parameter count, consumes slightly more energy per query than GPT-4o due to its deployment on less efficient A100 hardware...","Evidence: quote. Jegham et al. (2025) state 'GPT-4o mini ... consumes slightly more energy per query than GPT-4o due to its deployment on less efficient A100 hardware,' so the claim that GPT-4o mini consumes less is FALSE.",2025,0,1,0,0,0,0,0,0
q009,Training GPT-3 consumes how many U.S. household-years of electricity?,~119 household-years,"[116.9,121.7]",household-years,"['patterson2021', 'jegham2025']","['https://arxiv.org/pdf/2104.10350', 'https://arxiv.org/pdf/2505.09598']","Patterson 2021: GPT-3 training = 1287 MWh. Jegham 2025: 35,000 U.S. households consume 377,685 MWh/yr (= 10.79 MWh per household-year).","Evidence: combination. 377,685 MWh / 35,000 = 10.79 MWh per household-year; 1287 MWh / 10.79 = ~119 household-years. Scored as a +-2% bracket around the exact derivation (119.2661) so the contestant's rounding path does not decide the score.",2026,0,0,0,0,1,0,1,0
q011,"In a comparison of general-purpose language models, which model has the largest parameter count yet does not emit the most carbon per query?",Flan-T5-xxl,Flan-T5-xxl,is_blank,['luccioni2024'],['https://arxiv.org/pdf/2311.16863'],Table 3; multi-purpose architecture section,"Evidence: table. The seq2seq model Flan-T5-xxl has the largest parameter count in the comparison (11B) at 11.48 g CO2e per 1,000 inferences, while the smaller decoder-only BLOOMz-7B (7B) emits more at 14.46 g -- so parameter count does not order emissions. (2026 review: previously a two-part question, ""does parameter count reliably predict... and if not, which model shows otherwise"", behind a single gold, so a contestant answering the first half correctly scored zero.)",2026,1,1,1,0,0,0,0,0
q014,"What are the average carbon emissions, in grams of CO2eq per 1,000 inferences, of Flan-T5-base?",3.67 g CO2eq,3.67,g CO2eq,['luccioni2024'],['https://arxiv.org/pdf/2311.16863'],Table 3,"Evidence: table. Table 3 lists Flan-T5-base (222M parameters) at 3.67 g CO2eq per 1,000 inferences.",2026,0,0,1,0,0,0,0,0
q015,How many Great Lakes Basin residents rely on the Lakes for drinking water?,Up to 40 million,40000000,people,['agl2025'],https://greatlakes.org/wp-content/uploads/2025/08/AGL_WaterUse_Report_Aug2025_Final.pdf,"Quote: ""up to 40 million Great Lakes Basin residents rely on the Lakes for their drinking water.""",Evidence: quote.,2026,0,1,0,0,0,0,0,0
q016,"A company reports the water used per kilowatt-hour at its own data centers -- its Scope 1 water. Under the same accounting, the water consumed off-site generating the electricity it purchases falls under which scope?",Scope 2,2,scope,"['amazon2023', 'li2025b', 'talukder2026']","['https://sustainability.aboutamazon.com/2023-amazon-sustainability-report.pdf', 'https://arxiv.org/pdf/2304.03271', 'https://arxiv.org/pdf/2607.22617']","Quote: amazon2023 ""0.18 Liters of water per kilowatt-hour (L/kWh) water use effectiveness (WUE) for AWS data centers"" - an on-site measure. li2025b gives 3.1 L/kWh consumed generating the electricity.",Evidence: quote. talukder2026 defines the split verbatim: 'on-site (Scope 1) and off-site (Scope 2) water consumption'; li2025b uses the same scope-1/scope-2 water framing. Reframed 2026-08-17: the old gold ('off-site water') failed the equally correct answer 'scope-2 water' -- the gold document's own synonym.,2026,1,1,0,0,0,0,1,1
q021,What is the average water use effectiveness (WUE) for Google's AI-dedicated data centers in 2024?,Unable to answer with confidence based on the provided documents.,is_blank,WUE,is_blank,is_blank,is_blank,"Evidence: none in corpus. No cited paper reports an average WUE for Google's AI-dedicated data centers in 2024; Jegham et al. (2025) Table 1 lists WUE only for Microsoft Azure, AWS, and DeepSeek deployments, not Google.",2025,0,0,0,0,0,1,0,0
q022,"What is the estimated total operational water consumption for training GPT-3 in Microsoft's U.S. data centers, in million liters?",About 5.4 million liters (Table 1: 5.439 million),"[5400000,5439000]",liters,['li2025b'],['https://arxiv.org/pdf/2304.03271'],Table 1,"Evidence: table. li2025b states the figure twice: '5.4 million liters' in prose and 5.439 million in Table 1 (U.S. Average, Total Water for Training). Band spans the paper's own two printed formulations so quoting either scores.",2025,0,0,1,0,0,0,0,0
q023,"A general-purpose model is used for extractive question answering instead of a model trained only for that task. By what factor do the emissions per 1,000 inferences increase?",about 33 times,"[32.7,34]",multiplier,['luccioni2024'],https://arxiv.org/pdf/2311.16863,"Derived from: ""the most efficient task-specific models emit 0.3g of CO2eq per 1,000 inferences for extractive question answering on a dataset like SciQ, multi-purpose models emit 10g for the same task"". 10 / 0.3 = 33.3.",Evidence: combination within one paper. 10 g / 0.3 g = 33.3x. Scored as a +-2% bracket because both inputs are rounded in the source. This is the right-sizing result: using a general-purpose model where a task-specific one suffices costs over an order of magnitude in emissions.,2026,0,1,0,0,1,0,0,0
q025,"One paper notes that in 2020, Amazon, Microsoft, Meta, and Google accounted for what percentage of all Power Purchase Agreements (PPAs) purchased by corporations worldwide?",Almost 30%,30,percent,['luccioni2025a'],['https://arxiv.org/pdf/2501.16548'],"In 2020, Amazon, Microsoft, Meta, and Google alone accounted for almost 30% of all PPAs purchased by corporations worldwide [131], changing the scope and extent of the mechanism as a whole.","Evidence: quote. The paper states ""In 2020, Amazon, Microsoft, Meta, and Google alone accounted for almost 30% of all PPAs purchased by corporations worldwide,"" giving almost 30%.",2025,0,1,0,0,0,0,0,0
